DATE,TEXT
2018-07-18 16:52:58,"RT @jaqueswagner: Hoje, @NelsonMandela faria 100 anos. @LulaOficial completou 100 dias de prisão política. Uma data histórica, simbólica, p…"
2018-07-18 16:52:07,"“O caso Lula: a luta pela afirmação dos direitos fundamentais no Brasil” em primeiro lugar na Amazon! 

#lulalivre… https://t.co/fKnuVG1YQf"
2018-07-18 16:52:04,"RT @BohnGass: Que outro líder brasileiro, além de Lula, reuniria tanta gente, inspiraria tanta confiança, carregaria tanta esperança? Nenhu…"
2018-07-18 16:52:01,"@UOLNoticias Nada é precedente para Lula, haja visto que essa perseguição e prisão sem provas é algo sem precedente… https://t.co/2B9GeDWrgN"
2018-07-18 16:51:25,RT @Brasil_de_Fato: #Capa A edição especial do #BrasildeFato traz o posicionamento do Sistema Brasil de Fato sobre as #eleicoes2018 e o dir…
2018-07-18 16:51:07,@DeputadoFederal Com o apoio do povo #lulalivre #maiscandidatoquenunca
2018-07-18 16:51:01,"RT @ReginaSousa_01: Povo unido, em Paulistana, para informar à população sobre a perseguição que Lula tem sido vítima. A Justiça, no Brasil…"
2018-07-18 16:50:39,#LulaLivre É DEMOCRACIA NO PAÍS!!!! MAS COMO ESSA OLIGARQUIA Q ESTÁ ASSALTANDO E SEQESTRANDO TODOS OS BENS DO BRASI… https://t.co/AdN94v4U7w
2018-07-18 16:50:20,"RT @danibacedo: 686 dias do Golpe
545 dias q Teori morreu no acidente ""misterioso""
126 dias q Marielle foi assassinada
100 dias q Lula está…"
2018-07-18 16:50:14,RT @teresaleitao_: Lula segue imbatível em Pernambuco com 65%de intenção de voto e puxando declaração de apoio de dois pré candidatos adver…
2018-07-18 16:48:09,"RT @robertabastosn: O da esquerda na foto é o Jucá do MDB sabe? Aquele Jucá do acordo com Supremo com Tudo. O da direita é o Moro, aquele p…"
2018-07-18 16:48:08,"RT @BohnGass: Que outro líder brasileiro, além de Lula, reuniria tanta gente, inspiraria tanta confiança, carregaria tanta esperança? Nenhu…"
2018-07-18 16:47:57,"RT @DilmaResiste: #LulaLivre #Resistencia102Dias
Associação Juízes para a Democracia divulga nota de apoio ao desembargador Rogério Favreto…"
2018-07-18 16:47:40,"RT @danibacedo: 686 dias do Golpe
545 dias q Teori morreu no acidente ""misterioso""
126 dias q Marielle foi assassinada
100 dias q Lula está…"
2018-07-18 16:46:43,"2018 07 16 LulaMandela Youtube https://t.co/GtJP4OrvAe via @YouTube

Mandela vive e #LulaLivre"
2018-07-18 16:46:01,beneficiária do bolsa família será a primeira do núcleo familiar a obter o curso superior ao estudar na universidad… https://t.co/D53D2dAiZt
2018-07-18 16:45:57,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 16:45:43,"MUITO &amp; ABSOLUTAMENTE diferente de getúlio.
#LulaLivre, para o bem e para o mal, é um democrata! https://t.co/5knP0RJ1dg"
2018-07-18 16:45:40,isso é perseguição política escancarada! #LulaLivreJá #LulaLivre https://t.co/ySU5SsXoPl
2018-07-18 16:45:32,"RT @robertabastosn: O da esquerda na foto é o Jucá do MDB sabe? Aquele Jucá do acordo com Supremo com Tudo. O da direita é o Moro, aquele p…"
2018-07-18 16:45:05,Voltaaaaa LULA 🙌💞✊🙏 Juntimmm LulaDeAaZ até às últimas consequências #LulaLivre https://t.co/dpnJa4BBA6
2018-07-18 16:45:00,"RT @fabianafn: Centenário de Mandela. Por Pxeira

Via @DCM_online 
#LulaLivre #100DiasDeInjustiça https://t.co/J76OyLTy04"
2018-07-18 16:44:33,"RT @robertabastosn: O da esquerda na foto é o Jucá do MDB sabe? Aquele Jucá do acordo com Supremo com Tudo. O da direita é o Moro, aquele p…"
2018-07-18 16:44:25,"RT @woodenmar: eu tenho certeza que essa foto ainda vai parar nos livros de história 
e eu estarei viva pra ver!
#LulaLivre https://t.co/yE…"
2018-07-18 16:43:54,"RT @DeputadoFederal: MANDELA VIVE, LULA LIVRE!

A prisão política de Lula completa
mais de 100 dias. Hoje, 100 anos do nascimento de Nelson…"
2018-07-18 16:43:53,"RT @DeputadoFederal: CONHEÇA OS CRIMES DE MORO

1 - Desobediência
2 - Abuso de Autoridade
3 - Prevaricação
4 - Condenar inocente

#LulaLivr…"
2018-07-18 16:43:40,"RT @pauloteixeira13: Ontem,100 dias de prisão política do presidente @LulaOficial. Hoje, Mandela completaria 100 anos. Dois símbolos, duas…"
2018-07-18 16:43:33,"RT @arte_prima: O PROCESSO ERA UMA BAITA FAKENEWS !!!

MAIS UMA DESMORALIZAÇÃO PARA A PANELA DE CURITIBA !!!

#100DiasDeInjustiça 

#LulaLi…"
2018-07-18 16:43:22,👉Ato #LulaLivre em SP defende democracia e marca centenário de Nelson Mandela!!! https://t.co/L1SCtzWFrV @brasil247
2018-07-18 16:42:55,"RT @robertabastosn: O da esquerda na foto é o Jucá do MDB sabe? Aquele Jucá do acordo com Supremo com Tudo. O da direita é o Moro, aquele p…"
2018-07-18 16:42:50,@DeputadoFederal como assim esperar qe o Moro solte o Lula meu prezado e estimado Deputado!! qeremos o #LulaLivre m… https://t.co/za0F5YgTVx
2018-07-18 16:42:36,RT @sorayabborges: Boa tarde pessoal 🙌💞✊  #100diasdeinjustiça LulaValeALuta LulaeuConfio LulaInocente LulaPresidente Único atalho para para…
2018-07-18 16:42:33,"RT @DilmaResiste: Bolsonaro é o melhor candidato para a segurança pública?
Via @LeonelRadde #LulaLivre #Resistencia103Dias
Algumas pessoas…"
2018-07-18 16:41:51,"Do agreste à capital, pernambucanos marcham pela liberdade de Lula 
""Manifestantes percorrerão mais de 150 quilômet… https://t.co/xVNQWAHtM5"
